transitLine;transitRoute;shape;lengthRatio;Q25;Q50;Q75;Q85;Q95;MAX_DISTANCE
1430;136659A2873B4284;5;-0.070738360186263;1.353163674401197;6.323506530414649;40.90974401144282;75.645245295511;136.18786626024058;190.5029865120136
1430;136671A2873B4284;11;-0.08628630580014417;1.2228992158827285;8.839754254853217;93.47299893639142;183.7054375422619;658.4907403429589;815.5339434684427
1430;136666A2873B4284;11;-0.08628630580014417;1.2228992158827285;8.839754254853217;93.47299893639142;183.7054375422619;658.4907403429589;815.5339434684427
1431;i3-frequency_id14823-136614A2873B4284;46;-0.19848428267649212;0.6534621479631133;3.778164673388649;43.06042005683963;83.32295903633361;197.27697563344663;283.5392335164259
1431;136612A2873B4284;41;-0.17381802051445505;0.5002843808917704;1.963624775134378;5.486618971485795;51.17922038133446;91.70004100714141;135.7547126659191
1432;i2-frequency_id13771-59311A4124B5457;47;-0.07273286739731567;0.24595045438589574;0.7984076704221773;2.4900839794126592;4.792107580017205;73.74289452288582;164.17627443155908
1433;i2-frequency_id14837-136621A4124B5457;49;-0.09832835782008287;0.20619292486541227;1.6541251861960362;8.58048799620393;18.818397675667118;37.370948341000606;52.5824776133084
1433;i1-frequency_id14841-136622A2873B4284;45;0.08715581036735523;0.6158814688586908;3.7021136103375056;12.24078485401181;27.46820276226192;197.34389873376685;381.34228590503557
1434;i5-frequency_id13776-59359A4124B5457;44;-0.03252359032681876;0.7046395414680068;1.8398795678857582;7.916969598549795;16.100938704177995;38.67208662161833;59.65425046019043
1435;59386A4124B5457;4;-0.05522769343511684;1.4226567131333685;6.457410177200283;154.11332393228506;724.4042112591113;1000.5371815616693;1342.9205288885803
1435;59390A4124B5457;3;-0.0630897644112812;1.5784971416001965;6.8523518450634855;154.63102990041506;724.739123267433;1001.3864495281766;1342.9249416016169
1435;59387A4124B5457;4;-0.05522769343511684;1.4226567131333685;6.457410177200283;154.11332393228506;724.4042112591113;1000.5371815616693;1342.9205288885803
1435;59385A4124B5457;4;-0.05522769343511684;1.4226567131333685;6.457410177200283;154.11332393228506;724.4042112591113;1000.5371815616693;1342.9205288885803
1437;59479A1159B4285;17;0.006496999226431095;1.1234765856890836;5.2640307850366375;19.731400148893094;36.608589176241715;122.54510868549801;416.740699986091
1437;59476A1159B4285;6;-0.0043306482219292505;1.2207477629746848;5.958639108319532;20.110880399296104;35.633479492553825;93.88179341434841;296.91335559204305
1437;59473A1159B4285;40;-0.03719167174523735;0.8392141867952587;3.4398128177746328;15.189056395189224;37.18594096758928;87.4152212317262;296.9365240674407
